T,H,P
30.4,73.7,0
30.5,73.4,0
30.4,73.5,0
30.3,73.5,0
30.2,73.4,0
30.4,73.8,0
30.2,73.8,0
30.3,73.8,0
30.2,73.8,0
30.2,73.1,0
30.2,73.9,0
30.1,73.11,0
30.1,73.12,0
30.1,73.12,0
30.1,73.11,0
30,73.14,0
29.99,73.16,0
30.1,73.14,0
29.99,73.16,0
29.99,73.18,0
29.99,73.18,0
29.99,73.18,0
29.99,73.19,0
29.99,73.18,0
29.97,73.19,0
29.97,73.19,0
29.97,73.18,0
29.98,73.21,0
29.95,73.23,0
29.98,73.22,0
29.98,73.21,0
29.97,73.21,0
29.97,73.22,0
29.97,73.22,0
29.96,73.23,0
29.96,73.23,0
29.97,73.25,0
29.98,73.25,0
29.96,73.23,0
29.97,73.24,0
29.96,73.25,0
29.96,73.29,0
29.96,73.29,0
29.95,73.27,0
29.95,73.28,0
29.95,73.3,0
29.95,73.33,0
29.94,73.32,0
29.94,73.32,0
29.95,73.32,0
29.95,73.33,0
29.96,73.32,0
29.96,73.32,0
29.96,73.32,0
29.96,73.31,0
29.97,73.31,0
29.97,73.29,0
29.96,73.29,0
29.96,73.31,0
29.96,73.29,0
29.96,73.31,0
29.96,73.33,0
29.94,73.34,0
29.94,73.36,0
29.95,73.36,0
29.95,73.37,0
29.95,73.38,0
29.95,73.38,0
29.95,73.38,0
29.96,73.39,0
29.96,73.37,0
29.95,73.38,0
29.96,73.38,0
29.98,73.34,0
29.97,73.33,0
29.98,73.32,0
29.98,73.33,0
29.99,73.32,0
29.97,73.33,0
29.98,73.32,0
29.98,73.32,0
29.97,73.33,0
29.97,73.35,0
29.97,73.34,0
29.97,73.32,0
29.97,73.35,0
29.97,73.34,0
29.96,73.35,0
29.97,73.34,0
29.97,73.34,0
29.97,73.34,0
29.99,73.35,0
29.98,73.33,0
29.97,73.36,0
29.96,73.36,0
29.96,73.38,0
29.96,73.37,0
29.96,73.38,0
29.96,73.35,0
29.96,73.38,0
29.96,73.38,0
29.96,73.39,0
29.96,73.36,0
29.97,73.36,0
29.98,73.38,0
29.97,73.35,0
29.98,73.35,0
29.97,73.38,0
29.98,73.36,0
29.97,73.36,0
29.97,73.34,0
29.98,73.35,0
29.97,73.36,0
29.97,73.34,0
29.97,73.39,0
29.98,73.36,0
29.97,73.38,0
29.96,73.38,0
29.97,73.4,0
29.96,73.41,0
29.96,73.39,0
29.96,73.39,0
29.96,73.4,0
29.96,73.41,0
29.95,73.42,0
29.96,73.42,0
29.95,73.42,0
29.95,73.42,0
29.94,73.44,0
29.94,73.44,0
29.93,73.45,0
29.94,73.49,0
29.93,73.47,0
29.93,73.48,0
29.93,73.5,0
29.93,73.51,0
29.92,73.52,0
29.93,73.53,0
29.92,73.52,0
29.92,73.52,0
29.93,73.52,0
29.92,73.52,0
29.92,73.57,0
29.92,73.55,0
29.92,73.57,0
29.91,73.55,0
29.91,73.55,0
29.91,73.55,0
29.91,73.56,0
29.92,73.55,0
29.92,73.56,0
29.92,73.58,0
29.91,73.57,0
29.92,73.57,0
29.92,73.59,0
29.93,73.58,0
29.92,73.58,0
29.91,73.59,0
29.91,73.59,0
29.92,73.6,0
29.91,73.6,0
29.91,73.61,0
29.91,73.63,0
29.92,73.59,0
29.92,73.58,0
29.93,73.57,0
29.93,73.57,0
29.91,73.59,0
29.91,73.61,0
29.92,73.63,0
29.92,73.62,0
29.92,73.62,0
29.94,73.58,0
29.94,73.59,0
29.94,73.59,0
,,0
,,0
29.92,73.6,0
29.92,73.61,0
29.95,73.59,0
29.93,73.59,0
29.93,73.6,0
29.94,73.61,0
29.93,73.61,0
29.94,73.61,0
29.94,73.6,0
29.94,73.58,0
29.93,73.62,0
29.93,73.61,0
29.93,73.63,0
29.94,73.61,0
29.93,73.63,0
29.93,73.63,0
29.93,73.62,0
29.94,73.62,0
29.94,73.6,0
29.94,73.6,0
29.94,73.59,0
29.95,73.6,0
29.94,73.63,0
29.94,73.61,0
29.94,73.61,0
29.95,73.59,0
29.94,73.57,0
29.94,73.6,0
29.93,73.6,0
29.94,73.62,0
29.94,73.62,0
29.93,73.61,0
29.93,73.61,0
29.94,73.63,0
29.94,73.64,0
29.93,73.65,0
29.94,73.64,0
29.93,73.65,0
29.93,73.67,0
29.92,73.68,0
29.92,73.69,0
29.92,73.69,0
29.93,73.68,0
29.92,73.69,0
29.93,73.67,0
29.93,73.69,0
29.94,73.66,0
29.93,73.67,0
29.94,73.66,0
29.93,73.66,0
29.93,73.67,0
29.93,73.67,0
29.92,73.7,0
29.93,73.7,0
29.94,73.68,0
29.93,73.7,0
29.92,73.71,0
29.92,73.71,0
29.93,73.71,0
29.92,73.71,0
29.91,73.74,0
29.92,73.7,0
29.91,73.73,0
29.92,73.73,0
29.9,73.75,0
29.9,73.76,0
29.92,73.76,0
29.92,73.74,0
29.93,73.73,0
29.92,73.72,0
29.92,73.73,0
29.92,73.75,0
29.92,73.72,0
29.92,73.74,0
29.92,73.77,0
29.91,73.75,0
29.92,73.76,0
29.91,73.78,0
29.91,73.76,0
29.92,73.77,0
29.93,73.74,0
29.92,73.74,0
29.95,73.72,0
29.94,73.74,0
29.93,73.75,0
29.93,73.76,0
29.93,73.73,0
29.92,73.75,0
29.93,73.75,0
29.93,73.76,0
29.94,73.73,0
29.94,73.7,0
29.93,73.71,0
29.94,73.73,0
29.93,73.73,0
29.95,73.71,0
29.95,73.72,0
29.94,73.74,0
29.95,73.73,0
29.94,73.71,0
29.95,73.7,0
29.95,73.7,0
29.94,73.73,0
29.94,73.73,0
29.94,73.71,0
29.95,73.7,0
29.96,73.68,0
29.97,73.67,0
29.96,73.67,0
29.96,73.66,0
29.96,73.68,0
29.96,73.7,0
29.95,73.69,0
29.95,73.7,0
29.94,73.71,0
29.93,73.74,0
29.93,73.7,0
29.93,73.74,0
29.94,73.75,0
29.93,73.76,0
29.93,73.75,0
29.92,73.75,0
29.94,73.74,0
29.93,73.74,0
29.93,73.72,0
29.95,73.75,0
29.93,73.75,0
29.93,73.78,0
29.91,73.78,0
29.92,73.77,0
29.93,73.77,0
29.93,73.77,0
29.92,73.78,0
29.94,73.79,0
29.93,73.77,0
29.93,73.79,0
29.93,73.78,0
29.93,73.79,0
29.91,73.81,0
29.91,73.81,0
29.91,73.82,0
29.89,73.85,0
29.91,73.85,0
29.91,73.83,0
29.91,73.83,0
29.91,73.83,0
29.92,73.84,0
29.9,73.85,0
29.91,73.86,0
29.9,73.85,0
29.9,73.87,0
29.9,73.86,0
29.9,73.88,0
29.9,73.87,0
29.91,73.85,0
29.89,73.87,0
29.89,73.89,0
29.9,73.88,0
29.9,73.88,0
29.89,73.89,0
29.91,73.9,0
29.9,73.88,0
29.9,73.9,0
29.9,73.87,0
29.9,73.89,0
29.9,73.89,0
29.9,73.92,0
29.89,73.91,0
29.89,73.91,0
29.9,73.89,0
29.9,73.88,0
29.9,73.88,0
