PCA1,PCA2,PCA3,Power
-408.4993959,-18.25203662,3.867245333,0.000266667
-408.4626661,-18.0560305,4.376947966,0.000133333
-408.1957827,-17.78429482,4.936881263,0.000533333
-408.1665787,-17.80729916,4.843824817,0.000133333
-407.9593452,-17.88070942,4.429904144,0.000333333
-407.813095,-17.56539573,4.719692563,0.0004
-407.3915222,-17.36442812,4.655037155,0
-406.9460916,-17.06470717,4.840385401,0.001133333
-405.3670011,-15.94213065,4.8875383,0.000133333
-403.4904422,-14.7247851,4.95722652,0.000533333
-404.7118919,-15.66891283,4.844214414,0.000866667
-404.9978032,-15.92962816,4.704225978,0.000533333
-405.6168538,-16.3517654,5.002755079,6.67E-05
-405.7470645,-16.33650652,5.070557254,0.000266667
-406.825445,-17.24442703,4.385494598,0.0012
-407.7308203,-17.88276613,3.936511591,0.001
-408.0381252,-18.01711706,4.096050336,0.000266667
-408.2001077,-18.34659608,4.377998886,0.000666667
-409.2849366,-18.74748141,4.246227632,0.0006
-409.9257722,-18.93586154,4.161668334,0.000266667
-409.7234041,-18.93873324,4.171269593,0.000333333
-409.242635,-18.56088487,4.612305045,0.000733333
-409.474312,-18.78527853,4.344969769,0.000266667
-410.2654905,-18.87443884,4.192098379,0.000666667
-410.1837674,-18.86247653,4.368289431,0.000266667
-409.604691,-18.57462956,4.845770038,0.001466667
-409.9175975,-18.77404878,4.532020002,-0.000266667
-410.3725885,-18.84629309,4.219655292,0.000266667
-409.8041461,-18.86356151,4.196696122,0.000466667
-409.978941,-18.79131028,4.297242989,0.000133333
-409.8362127,-18.79825007,4.071716459,0.0004
-409.451191,-18.81495088,4.019121358,0.0004
-410.0690378,-18.85633107,3.741584104,-6.67E-05
-410.0259394,-18.84911597,3.824845405,0.000266667
-409.8578738,-18.86145978,3.786936141,0.000533333
-409.8031475,-18.82114902,3.916997006,0.000133333
-409.4523489,-18.66046738,3.76985094,0.000933333
-407.7018356,-17.51865792,4.801687712,0.000733333
-406.4238192,-16.81006154,5.044491076,0.000466667
-407.6955635,-17.59964498,4.687747657,0.000666667
-409.8759698,-18.77866913,3.713470057,0.0004
-409.5832456,-18.61070879,4.203825542,0.000666667
-410.2224285,-18.79023649,4.017264515,0.000266667
-409.9584252,-18.78779411,3.818236159,0.0012
-408.6489903,-18.28349072,4.160009266,0.0008
-408.9181132,-18.5470177,3.961376556,0.0002
-408.7143686,-18.41991111,4.198845049,0.0012
-408.8967019,-18.42881889,4.332384191,0.000666667
-408.5948234,-18.25354816,4.275972957,0.000733333
-409.1177415,-18.62372343,3.936553504,-1.46E-11
-409.2022536,-18.65288624,4.000363495,0.000533333
-410.0796495,-18.8062956,3.848810099,0.000133333
-410.2097378,-18.79806229,3.782230746,0.000266667
-409.6726307,-18.81808427,3.717936828,0.0004
-409.5592405,-18.80547295,3.861184324,0.0006
-409.6026553,-18.63130299,4.38553931,0.000266667
-409.8448259,-18.74801617,4.123843641,0.0004
-409.5993833,-18.73987139,3.9168575,0.000133333
-409.4496397,-18.70781565,3.656358359,0.000533333
-409.3539656,-18.71851092,3.661182089,-6.67E-05
-408.3883972,-18.07710865,4.241636006,0.0002
-405.4476016,-16.06252941,5.641698586,6.67E-05
-405.0940192,-15.86591631,5.293863238,6.67E-05
-405.8501439,-16.43845465,4.795474848,0.000933333
-406.4330266,-16.8394284,4.602289147,0.0006
-406.9528608,-17.1809494,4.623610657,0.000333333
-407.3760565,-17.50332076,4.832148352,0.000666667
-407.4232255,-17.56641235,4.650178685,0.000333333
-407.7949046,-17.85726508,4.650154381,6.67E-05
-407.5684342,-17.96729931,3.984698891,0.000266667
-407.7657915,-18.01169129,4.260969282,0.000333333
-408.0505249,-18.07708344,4.59862271,0.000933333
-407.7329836,-17.85597671,4.774311058,0.000133333
-407.1861329,-17.41983767,4.843156647,0
-407.1814242,-17.48719266,4.43077881,0.0006
-407.6859014,-17.89766489,4.386142325,0.0004
-408.0940117,-18.13118085,4.580868039,0.000666667
-408.2948597,-18.1618855,4.662277237,0.000333333
-408.1927005,-18.19035452,4.461570004,0.0004
-408.0399706,-18.08822103,4.544113098,-0.000133333
-408.0756924,-18.14203649,4.329932849,0.000733333
-408.0909435,-18.11816552,4.334291464,0.000266667
-408.5085185,-18.44158455,4.307891092,0.0004
-408.3767038,-18.27371774,4.624518536,-0.000333333
-406.8839043,-17.2531454,3.867768115,0.000666667
-402.6491,-14.3078966,3.709552519,0.000266667
-396.6526397,-9.988949918,3.428021291,0.001
-381.6379007,0.180466442,3.711707844,0.0004
-357.1223405,6.47359235,-5.350243608,0.000266667
-325.9375645,10.34567402,-7.798497702,0.058999985
-296.3087275,13.61791488,-13.21353782,0.161600024
-263.2476921,19.89324793,-15.14843402,0.243200004
-221.0586326,29.43589783,-22.90403851,0.344533354
-157.3487745,56.49100188,-23.26158212,0.499666661
-94.23923805,78.34669449,-20.96175002,0.65413332
-67.09002543,74.45807053,-24.17723972,0.697666645
-71.4549055,44.85103986,-31.81301357,0.634466648
-75.33466721,60.82744027,-22.75601771,0.645866632
-107.6650593,113.5561801,-21.01367089,0.600533247
-116.5881763,123.7901692,-31.7835923,0.571266532
-17.82197237,93.120221,4.11156695,0.892400086
-167.2474728,99.29132274,-31.74724632,0.422266662
-228.4977573,94.89328946,-21.47902482,0.292200059
-260.0719619,80.10524674,-13.07575518,0.261466712
-278.9830092,73.38340229,-9.009088727,0.237199962
-273.2001158,81.32397948,-2.882454012,0.267933369
-269.2883703,85.50988778,-0.318938959,0.273200005
-218.9554238,123.3769989,1.635831062,0.390933275
-164.7307791,155.8913417,-3.828801465,0.536200047
-83.54688971,180.1447456,-1.03949553,0.781466603
182.0779934,177.6293366,-13.27880518,1.42353344
249.590997,177.3630182,33.61032469,1.703999996
26.45376079,162.2424973,-68.09955425,0.805733323
54.26169373,146.0744104,-23.20212392,1.049466729
345.3162709,119.1118581,51.12083279,2.160200119
461.2792455,122.4386211,20.62018453,2.381799936
499.7157092,132.8799812,-55.2529013,2.227333546
530.0825959,182.5749747,-41.08372592,2.329666853
565.2387797,218.8056278,10.86175366,2.602999687
292.67718,216.9083467,-144.9029494,1.276466608
579.2948075,212.8353837,29.26959188,2.740466833
691.8649837,230.8247684,-43.75902081,2.798599958
696.2295284,329.97651,3.577704495,2.883533478
662.165197,388.5808697,-3.242779113,2.698999882
574.9840823,379.287183,-58.00013458,2.313866854
516.9060489,282.9837144,-57.75526517,2.356133461
660.7952868,92.05979154,-29.78361706,3.020466805
652.7760894,-12.88043704,-51.78212978,2.981533527
670.5341541,-39.85244394,-47.01632963,3.047466755
688.6533284,-49.27341803,-47.91630976,3.085533142
708.1546054,-51.32890132,-45.98150018,3.132733345
721.8772971,-52.21675173,-45.91288013,3.169933081
731.2533838,-60.82286438,-48.90938576,3.202400208
749.5777784,-59.5542369,-46.88325859,3.244867086
778.4401638,-50.14702553,-52.49747766,3.308000088
831.7519068,-13.96381464,-48.08223266,3.441133022
827.0757837,-27.66455669,-60.34433929,3.367400169
831.6732694,-29.30512732,-51.02184367,3.447532892
864.1268223,-8.706940881,-52.21499131,3.522666454
929.0599091,37.56836059,-54.64349408,3.6698668
1020.652747,128.141331,-45.55544259,3.884399652
947.7339323,175.4307144,-81.19428831,3.440066814
688.7682167,252.3413845,-124.0997534,2.524466753
438.6158419,289.0337894,-3.42737467,2.197733164
553.6744789,183.2830092,-50.42727603,2.545599937
778.271273,149.1709622,-19.99860496,3.162466764
841.8877815,122.0276558,-7.686888126,3.457133532
928.6087838,37.26811523,-22.49511233,3.704666615
916.9936535,-3.879621152,-41.04002912,3.607399702
873.0545623,-31.80846306,-82.86272784,3.378999949
892.9261653,-50.11177594,-60.46563193,3.549133539
890.3100989,-53.53621183,-63.719513,3.518532991
895.7627595,-49.25747497,-61.81467353,3.517133236
903.2320486,-36.5053057,-64.97223642,3.519000053
940.9420119,15.08640258,-61.14941528,3.569999933
982.7809135,62.83654524,-73.38056367,3.589066505
981.4075647,41.08333625,-63.14018829,3.614599705
953.686522,9.320742664,-72.8626946,3.577533245
919.0508707,-14.97873969,-69.83007225,3.517933607
888.3486377,-43.76081591,-74.79430342,3.485533953
871.3475956,-55.73784883,-76.90940912,3.444333553
859.7119294,-60.87062381,-74.88548675,3.431533098
852.6341789,-63.66159922,-73.05965899,3.426932812
837.120744,-68.59648132,-77.01131695,3.381866693
827.6882355,-67.41505489,-77.75865276,3.342533112
820.7074205,-66.13769094,-75.06596331,3.358533621
806.9948541,-65.01609765,-74.9629662,3.344665766
790.3742854,-63.0332025,-74.95723874,3.306000233
785.5391807,-53.65998966,-77.658038,3.270133495
793.1682513,-32.71528259,-72.5039101,3.274266243
792.958372,-21.03456099,-72.54831081,3.259999752
777.0449883,-20.01835362,-72.52001736,3.233200073
745.1771246,-29.48195057,-78.31320905,3.140000105
727.5988853,-26.98124893,-73.80733366,3.125400066
716.257922,-28.27676986,-68.56826855,3.13953352
694.3366482,-28.40700123,-73.51183703,3.073733091
684.2818383,-17.43926698,-63.94521871,3.040799618
657.5018639,-28.55481087,-68.73515659,2.960066795
